dcc_project_code	ENTITY
BLCA-US	Bladder
BOCA-UK	Sarcoma
BRCA-EU	Breast
BRCA-UK	Breast
BRCA-US	Breast
BTCA-SG	Biliary
CESC-US	Cervix
CLLE-ES	Leukemia
CMDI-UK	Myeloid
COAD-US	Colorectal
DLBC-US	Lymphoma
EOPC-DE	Prostate
ESAD-UK	Esophagus
GACA-CN	Gastric
GBM-US	Brain
HNSC-US	HeadNeck
KICH-US	Kidney
KIRC-US	Kidney
KIRP-US	Kidney
LAML-KR	Leukemia
LAML-US	Leukemia
LGG-US	Brain
LICA-FR	Liver
LIHC-US	Liver
LINC-JP	Liver
LIRI-JP	Liver
LUAD-US	Lung
LUSC-US	Lung
MALY-DE	Lymphoma
MELA-AU	Skin
ORCA-IN	HeadNeck
OV-AU	Ovary
OV-US	Ovary
PACA-AU	Pancreas
PACA-CA	Pancreas
PAEN-AU	Endocrine
PAEN-IT	Endocrine
PBCA-DE	Brain
PRAD-CA	Prostate
PRAD-UK	Prostate
PRAD-US	Prostate
READ-US	Colorectal
RECA-EU	Kidney
SARC-US	Sarcoma
SKCM-US	Skin
STAD-US	Gastric
THCA-US	Thyroid
UCEC-US	Endometrium
